fips,count,avgScore,year
01001,4,-0.06,2013
01003,39,0.57,2013
01005,3,0.55,2013
01007,1,0.21,2013
01009,1,0.64,2013
01011,1,0.44,2013
01013,1,0.8,2013
01015,41,0.33,2013
01017,17,0.04,2013
01019,2,0.58,2013
01021,2,0.44,2013
01023,1,0.46,2013
01025,3,0.41,2013
01027,1,0.01,2013
01031,15,0.28,2013
01033,3,0.03,2013
01035,1,0.8,2013
01037,1,-0.4,2013
01039,13,0.47,2013
01041,5,0.43,2013
01043,12,0.29,2013
01045,17,0.2,2013
01047,7,0.0,2013
01049,1,0.23,2013
01051,22,0.16,2013
01053,5,0.28,2013
01055,14,0.44,2013
01057,1,0.3,2013
01059,2,0.32,2013
01061,10,0.52,2013
01065,1,0.76,2013
01067,1,0.72,2013
01069,22,0.31,2013
01071,4,0.13,2013
01073,164,0.28,2013
01077,36,0.39,2013
01081,210,0.39,2013
01083,12,0.34,2013
01087,1,-1.19,2013
01089,87,0.27,2013
01091,1,0.31,2013
01093,1,-0.23,2013
01095,8,0.52,2013
01097,116,0.32,2013
01099,3,0.28,2013
01101,73,0.09,2013
01103,18,0.44,2013
01105,2,0.11,2013
01107,2,0.43,2013
01109,102,0.28,2013
01111,74,0.25,2013
01113,21,0.26,2013
01115,4,0.0,2013
01117,60,0.44,2013
01119,8,0.24,2013
01121,9,0.38,2013
01123,4,0.39,2013
01125,161,0.32,2013
01127,4,0.53,2013
01129,8,0.46,2013
01131,1,0.32,2013
01133,2,0.76,2013
02013,1,0.32,2013
02020,105,0.34,2013
02050,2,0.45,2013
02090,29,0.25,2013
02110,5,0.08,2013
02122,12,0.31,2013
02130,1,0.33,2013
02150,5,0.35,2013
02164,1,0.8,2013
02170,12,0.38,2013
02180,1,0.79,2013
02185,1,-0.28,2013
02220,2,0.45,2013
02240,1,-0.2,2013
02261,2,0.42,2013
04001,7,0.24,2013
04003,17,0.39,2013
04005,88,0.25,2013
04007,1,-0.08,2013
04009,2,0.48,2013
04011,2,0.34,2013
04012,2,0.36,2013
04013,1282,0.32,2013
04015,25,0.43,2013
04017,7,0.43,2013
04019,338,0.33,2013
04021,89,0.36,2013
04023,2,0.28,2013
04025,62,0.41,2013
04027,18,0.16,2013
05001,1,1.05,2013
05003,1,-0.72,2013
05005,11,0.54,2013
05007,58,0.36,2013
05009,9,0.27,2013
05015,16,0.2,2013
05017,1,0.2,2013
05019,3,0.33,2013
05021,2,-0.14,2013
05023,4,0.56,2013
05027,8,0.22,2013
05029,2,0.98,2013
05031,74,0.31,2013
05033,10,0.28,2013
05035,13,0.37,2013
05037,4,0.6,2013
05041,4,0.14,2013
05043,3,0.34,2013
05045,196,0.31,2013
05047,5,0.32,2013
05051,17,0.24,2013
05053,1,-0.72,2013
05055,11,0.27,2013
05057,4,0.21,2013
05059,6,-0.1,2013
05061,1,-0.38,2013
05063,4,0.12,2013
05067,7,-0.03,2013
05069,37,0.1,2013
05071,7,0.18,2013
05075,2,0.76,2013
05079,3,-0.18,2013
05083,3,0.82,2013
05085,22,0.31,2013
05087,1,0.23,2013
05089,2,1.02,2013
05091,2,0.81,2013
05093,6,-0.04,2013
05095,1,-0.06,2013
05101,1,0.63,2013
05103,6,0.26,2013
05105,1,0.04,2013
05107,10,0.1,2013
05111,2,0.11,2013
05113,2,0.3,2013
05115,18,0.47,2013
05117,4,0.1,2013
05119,213,0.29,2013
05123,2,-0.06,2013
05125,20,0.42,2013
05131,20,0.31,2013
05137,2,-0.17,2013
05139,8,0.26,2013
05141,3,0.78,2013
05143,200,0.37,2013
05145,9,0.29,2013
05149,2,-0.18,2013
06001,1342,0.27,2013
06005,9,0.63,2013
06007,181,0.33,2013
06009,5,0.34,2013
06011,2,-0.06,2013
06013,579,0.31,2013
06015,5,0.43,2013
06017,62,0.28,2013
06019,400,0.32,2013
06021,7,-0.04,2013
06023,44,0.21,2013
06025,14,0.34,2013
06027,5,0.12,2013
06029,172,0.36,2013
06031,13,0.36,2013
06033,14,0.43,2013
06035,1,0.45,2013
06037,3525,0.32,2013
06039,14,0.38,2013
06041,113,0.31,2013
06043,3,0.3,2013
06045,33,0.36,2013
06047,35,0.48,2013
06053,130,0.34,2013
06055,45,0.34,2013
06057,26,0.28,2013
06059,1059,0.36,2013
06061,232,0.25,2013
06063,1,-0.24,2013
06065,659,0.33,2013
06067,775,0.26,2013
06069,12,0.47,2013
06071,467,0.28,2013
06073,1665,0.35,2013
06075,852,0.28,2013
06077,141,0.37,2013
06079,373,0.4,2013
06081,409,0.34,2013
06083,246,0.29,2013
06085,1375,0.35,2013
06087,162,0.27,2013
06089,79,0.32,2013
06093,7,0.35,2013
06095,124,0.24,2013
06097,271,0.32,2013
06099,47,0.38,2013
06101,19,0.39,2013
06103,7,0.41,2013
06107,59,0.37,2013
06109,3,0.54,2013
06111,315,0.33,2013
06113,284,0.27,2013
06115,18,0.38,2013
08001,229,0.29,2013
08003,1,0.61,2013
08005,422,0.27,2013
08007,2,0.7,2013
08013,365,0.32,2013
08014,47,0.33,2013
08015,3,0.12,2013
08023,1,0.78,2013
08025,2,0.82,2013
08029,3,0.28,2013
08031,775,0.28,2013
08035,197,0.39,2013
08037,4,0.08,2013
08039,2,0.55,2013
08041,309,0.36,2013
08043,9,0.23,2013
08045,8,0.17,2013
08047,1,0.6,2013
08049,6,0.27,2013
08051,7,0.51,2013
08055,1,0.39,2013
08057,1,0.76,2013
08059,274,0.34,2013
08065,2,-0.08,2013
08067,51,0.33,2013
08069,335,0.3,2013
08071,2,0.58,2013
08075,5,0.44,2013
08077,34,0.4,2013
08079,2,0.18,2013
08081,2,-0.04,2013
08083,5,0.28,2013
08085,2,0.53,2013
08087,3,0.38,2013
08089,3,-0.15,2013
08091,1,-0.63,2013
08093,4,0.4,2013
08099,5,0.03,2013
08101,82,0.33,2013
08103,5,0.45,2013
08107,39,0.36,2013
08109,1,0.3,2013
08113,1,0.15,2013
08117,2,0.08,2013
08119,3,0.46,2013
08123,538,0.3,2013
08125,2,0.74,2013
09001,512,0.35,2013
09003,575,0.38,2013
09005,50,0.45,2013
09007,124,0.35,2013
09009,460,0.34,2013
09011,315,0.41,2013
09013,155,0.46,2013
09015,56,0.36,2013
10001,34,0.37,2013
10003,369,0.32,2013
10005,13,0.47,2013
11001,1073,0.28,2013
12001,449,0.39,2013
12003,5,0.28,2013
12005,18,0.51,2013
12007,3,0.36,2013
12009,172,0.34,2013
12011,403,0.28,2013
12013,2,0.34,2013
12015,17,0.25,2013
12017,27,0.38,2013
12019,36,0.41,2013
12021,35,0.34,2013
12023,2,0.69,2013
12027,2,0.63,2013
12029,1,0.39,2013
12031,298,0.26,2013
12033,74,0.35,2013
12035,24,0.29,2013
12037,2,0.9,2013
12039,13,0.0,2013
12041,4,-0.0,2013
12043,2,0.71,2013
12045,1,1.25,2013
12051,2,0.31,2013
12053,15,0.31,2013
12055,7,0.55,2013
12057,672,0.33,2013
12061,21,0.36,2013
12063,7,0.23,2013
12065,1,0.92,2013
12069,72,0.31,2013
12071,85,0.38,2013
12073,395,0.32,2013
12075,6,0.39,2013
12077,3,0.18,2013
12079,2,0.46,2013
12081,91,0.39,2013
12083,56,0.27,2013
12085,34,0.49,2013
12086,982,0.33,2013
12087,16,0.2,2013
12089,13,0.44,2013
12091,40,0.36,2013
12093,1,-0.16,2013
12095,398,0.32,2013
12097,49,0.37,2013
12099,372,0.35,2013
12101,100,0.35,2013
12103,628,0.37,2013
12105,165,0.28,2013
12107,5,0.42,2013
12109,159,0.39,2013
12111,45,0.23,2013
12113,30,0.22,2013
12115,50,0.35,2013
12117,111,0.39,2013
12119,10,0.51,2013
12121,2,0.48,2013
12123,2,0.16,2013
12127,285,0.27,2013
12129,9,0.06,2013
12131,7,0.65,2013
12133,3,0.22,2013
13001,1,0.07,2013
13003,3,0.11,2013
13009,60,0.46,2013
13011,6,0.22,2013
13013,19,0.29,2013
13015,9,0.57,2013
13017,6,0.36,2013
13019,8,0.17,2013
13021,76,0.33,2013
13023,2,0.59,2013
13027,3,0.2,2013
13029,11,0.37,2013
13031,70,0.18,2013
13033,13,0.38,2013
13035,3,-0.18,2013
13037,3,0.22,2013
13039,14,0.17,2013
13043,1,-0.15,2013
13045,29,0.21,2013
13047,26,0.39,2013
13051,84,0.22,2013
13053,2,0.26,2013
13055,4,0.44,2013
13057,68,0.31,2013
13059,428,0.37,2013
13063,96,-0.06,2013
13065,5,0.16,2013
13067,340,0.26,2013
13069,13,0.29,2013
13071,16,0.16,2013
13073,24,0.43,2013
13075,3,-0.34,2013
13077,25,0.25,2013
13081,4,0.22,2013
13083,7,0.6,2013
13085,3,-0.11,2013
13087,6,0.21,2013
13089,342,0.2,2013
13091,1,-1.07,2013
13093,1,0.58,2013
13095,27,0.11,2013
13097,34,0.2,2013
13099,3,0.31,2013
13103,11,0.35,2013
13105,3,-0.53,2013
13107,2,0.29,2013
13109,1,1.0,2013
13111,12,0.24,2013
13113,50,0.35,2013
13115,48,0.49,2013
13117,44,0.49,2013
13119,2,0.79,2013
13121,797,0.24,2013
13123,19,0.51,2013
13127,25,0.24,2013
13129,17,0.42,2013
13131,2,0.48,2013
13133,6,0.26,2013
13135,736,0.26,2013
13137,136,0.25,2013
13139,34,0.39,2013
13141,6,0.44,2013
13143,1,0.79,2013
13145,2,0.82,2013
13147,3,0.31,2013
13149,2,0.21,2013
