stateAbb,count,avgScore,stateName,year
AA,9,0.03,,2020
AE,201,0.17,,2020
AK,1073,0.25,Alaska,2020
AL,5722,0.26,Alabama,2020
AP,129,0.14,,2020
AR,4189,0.26,Arkansas,2020
AS,2,-0.23,,2020
AZ,11214,0.24,Arizona,2020
CA,105401,0.22,California,2020
CO,19812,0.23,Colorado,2020
CT,10808,0.27,Connecticut,2020
DC,5613,0.2,District of Columbia,2020
DE,3093,0.25,Delaware,2020
FL,28178,0.26,Florida,2020
GA,20850,0.22,Georgia,2020
GU,24,0.35,,2020
HI,1561,0.2,Hawaii,2020
IA,9151,0.29,Iowa,2020
ID,3220,0.27,Idaho,2020
IL,31331,0.26,Illinois,2020
IN,15373,0.27,Indiana,2020
KS,5876,0.28,Kansas,2020
KY,9347,0.27,Kentucky,2020
LA,5278,0.23,Louisiana,2020
MA,30279,0.26,Massachusetts,2020
MD,21318,0.23,Maryland,2020
ME,3704,0.25,Maine,2020
MH,1,0.59,,2020
MI,21298,0.27,Michigan,2020
MN,19742,0.27,Minnesota,2020
MO,13188,0.26,Missouri,2020
MP,2,0.62,,2020
MS,2647,0.24,Mississippi,2020
MT,1712,0.24,Montana,2020
NC,22616,0.24,North Carolina,2020
ND,1241,0.3,North Dakota,2020
NE,4690,0.28,Nebraska,2020
NH,3351,0.29,New Hampshire,2020
NJ,18094,0.27,New Jersey,2020
NM,3108,0.22,New Mexico,2020
NV,3812,0.23,Nevada,2020
NY,49500,0.25,New York,2020
OH,30254,0.27,Ohio,2020
OK,4979,0.25,Oklahoma,2020
OR,15440,0.21,Oregon,2020
PA,30708,0.27,Pennsylvania,2020
PR,218,0.22,,2020
PW,1,0.32,,2020
RI,3452,0.26,Rhode Island,2020
SC,7219,0.25,South Carolina,2020
SD,1686,0.31,South Dakota,2020
TN,9845,0.25,Tennessee,2020
TX,40141,0.23,Texas,2020
UT,9017,0.25,Utah,2020
VA,22316,0.25,Virginia,2020
VI,33,0.11,,2020
VT,3304,0.27,Vermont,2020
WA,28854,0.22,Washington,2020
WI,18176,0.28,Wisconsin,2020
WV,2023,0.28,West Virginia,2020
WY,639,0.24,Wyoming,2020
