fips,count,avgScore,year
01001,22,0.37,2016
01003,73,0.35,2016
01005,7,0.32,2016
01007,2,-0.08,2016
01009,7,0.05,2016
01011,1,-0.54,2016
01013,4,0.08,2016
01015,48,0.29,2016
01017,9,-0.01,2016
01019,8,0.13,2016
01021,8,0.5,2016
01023,4,0.18,2016
01025,7,0.5,2016
01027,2,0.6,2016
01029,3,-0.21,2016
01031,25,0.31,2016
01033,6,0.11,2016
01039,3,0.64,2016
01041,4,0.34,2016
01043,10,0.39,2016
01045,19,0.21,2016
01047,5,0.07,2016
01049,11,0.43,2016
01051,25,0.3,2016
01053,4,0.39,2016
01055,19,0.32,2016
01061,11,0.33,2016
01063,2,0.08,2016
01065,7,0.27,2016
01067,1,0.9,2016
01069,141,0.38,2016
01071,11,0.2,2016
01073,710,0.3,2016
01075,3,0.21,2016
01077,23,0.12,2016
01079,4,0.09,2016
01081,200,0.26,2016
01083,26,0.3,2016
01085,2,0.38,2016
01087,5,-0.63,2016
01089,235,0.27,2016
01091,2,0.19,2016
01093,2,0.68,2016
01095,20,0.4,2016
01097,246,0.28,2016
01099,1,0.48,2016
01101,118,0.16,2016
01103,26,0.34,2016
01107,3,0.24,2016
01109,28,0.43,2016
01111,8,0.27,2016
01113,17,0.09,2016
01115,31,0.41,2016
01117,190,0.27,2016
01119,8,-0.14,2016
01121,11,0.15,2016
01123,7,0.09,2016
01125,266,0.3,2016
01127,15,0.21,2016
01129,3,0.17,2016
01131,3,-0.1,2016
01133,1,0.46,2016
02013,1,0.34,2016
02016,1,0.46,2016
02020,248,0.26,2016
02050,9,-0.02,2016
02060,1,0.72,2016
02068,3,0.37,2016
02070,1,0.88,2016
02090,58,0.27,2016
02100,1,-0.28,2016
02110,23,0.37,2016
02122,26,0.3,2016
02130,10,0.51,2016
02150,3,0.24,2016
02170,36,0.28,2016
02180,4,0.45,2016
02185,2,-0.44,2016
02188,2,0.1,2016
02201,1,0.87,2016
02220,7,0.34,2016
02240,1,0.24,2016
02261,5,-0.33,2016
02270,2,0.44,2016
02280,4,0.31,2016
02290,7,0.25,2016
04001,11,0.25,2016
04003,52,0.36,2016
04005,126,0.29,2016
04007,8,0.3,2016
04009,3,0.32,2016
04011,2,0.7,2016
04012,4,-0.02,2016
04013,3329,0.29,2016
04015,40,0.32,2016
04017,21,0.11,2016
04019,700,0.27,2016
04021,132,0.24,2016
04023,9,0.1,2016
04025,118,0.32,2016
04027,50,0.31,2016
05001,8,0.33,2016
05003,1,0.0,2016
05005,5,0.39,2016
05007,212,0.29,2016
05009,9,0.05,2016
05011,1,0.41,2016
05015,6,0.45,2016
05017,3,0.09,2016
05019,9,0.16,2016
05021,2,0.76,2016
05023,1,-0.45,2016
05025,2,0.86,2016
05027,3,0.24,2016
05029,6,0.39,2016
05031,55,0.33,2016
05033,16,0.19,2016
05035,22,0.39,2016
05037,8,0.35,2016
05041,2,0.54,2016
05043,3,0.37,2016
05045,115,0.32,2016
05047,3,0.4,2016
05049,5,0.37,2016
05051,24,0.19,2016
05053,3,0.22,2016
05055,13,0.37,2016
05057,4,0.32,2016
05059,5,0.19,2016
05061,3,0.1,2016
05063,8,0.18,2016
05065,1,0.11,2016
05069,17,0.31,2016
05071,7,0.27,2016
05073,1,0.54,2016
05075,5,0.33,2016
05077,2,0.56,2016
05079,1,0.1,2016
05083,3,0.61,2016
05085,24,0.35,2016
05087,3,0.48,2016
05091,13,0.15,2016
05093,11,0.21,2016
05095,3,0.26,2016
05101,3,0.14,2016
05103,3,0.24,2016
05105,2,0.35,2016
05107,5,-0.07,2016
05109,3,0.35,2016
05111,3,0.33,2016
05113,4,0.32,2016
05115,28,0.43,2016
05117,1,0.49,2016
05119,333,0.23,2016
05121,4,0.12,2016
05123,6,0.01,2016
05125,44,0.32,2016
05127,1,0.78,2016
05131,30,0.22,2016
05133,1,0.45,2016
05135,6,0.14,2016
05137,2,0.47,2016
05139,4,0.64,2016
05141,2,0.3,2016
05143,360,0.32,2016
05145,47,0.35,2016
05149,4,0.05,2016
06001,3694,0.23,2016
06005,23,0.39,2016
06007,397,0.26,2016
06009,50,0.22,2016
06011,9,0.33,2016
06013,1698,0.25,2016
06015,29,0.27,2016
06017,154,0.34,2016
06019,778,0.27,2016
06021,27,0.19,2016
06023,216,0.27,2016
06025,80,0.38,2016
06027,10,0.34,2016
06029,547,0.28,2016
06031,59,0.29,2016
06033,26,0.24,2016
06035,6,0.21,2016
06037,9455,0.24,2016
06039,50,0.35,2016
06041,553,0.28,2016
06043,12,0.14,2016
06045,49,0.31,2016
06047,222,0.26,2016
06049,4,0.41,2016
06051,8,0.18,2016
06053,255,0.26,2016
06055,146,0.32,2016
06057,93,0.3,2016
06059,2828,0.29,2016
06061,369,0.27,2016
06063,15,0.47,2016
06065,1759,0.26,2016
06067,2223,0.25,2016
06069,38,0.19,2016
06071,1616,0.27,2016
06073,3994,0.27,2016
06075,2859,0.27,2016
06077,464,0.26,2016
06079,508,0.29,2016
06081,1600,0.29,2016
06083,535,0.27,2016
06085,3199,0.29,2016
06087,455,0.23,2016
06089,94,0.26,2016
06091,2,0.22,2016
06093,28,0.22,2016
06095,579,0.22,2016
06097,722,0.27,2016
06099,478,0.28,2016
06101,45,0.24,2016
06103,26,0.38,2016
06105,5,0.59,2016
06107,183,0.27,2016
06109,18,0.15,2016
06111,579,0.28,2016
06113,404,0.25,2016
06115,35,0.22,2016
08001,562,0.2,2016
08003,15,0.33,2016
08005,1145,0.23,2016
08007,3,0.08,2016
08009,1,1.06,2016
08011,1,0.47,2016
08013,983,0.28,2016
08014,158,0.29,2016
08015,39,0.38,2016
08017,2,0.12,2016
08019,1,-0.24,2016
08021,2,0.57,2016
08027,4,-0.09,2016
08029,10,0.4,2016
08031,1877,0.23,2016
08035,600,0.3,2016
08037,42,0.21,2016
08039,11,0.32,2016
08041,1287,0.3,2016
08043,16,0.33,2016
08045,77,0.26,2016
08047,1,0.67,2016
08049,10,0.57,2016
08051,17,0.11,2016
08055,2,0.3,2016
08059,873,0.31,2016
08061,1,0.78,2016
08063,5,0.26,2016
08065,7,0.33,2016
08067,45,0.21,2016
08069,809,0.28,2016
08073,3,0.3,2016
08075,5,0.24,2016
08077,105,0.23,2016
08081,4,0.16,2016
08083,13,0.3,2016
08085,12,0.39,2016
08087,9,0.29,2016
08089,13,0.25,2016
08091,2,0.55,2016
08093,10,0.3,2016
08095,3,0.79,2016
08097,15,0.42,2016
08099,12,0.36,2016
08101,78,0.28,2016
08103,3,0.12,2016
08105,7,0.15,2016
08107,13,0.45,2016
08109,7,0.26,2016
08113,4,0.23,2016
08115,1,0.39,2016
08117,21,0.17,2016
08119,13,0.21,2016
08121,1,0.14,2016
08123,405,0.29,2016
08125,3,0.24,2016
09001,498,0.39,2016
09003,556,0.36,2016
09005,57,0.29,2016
09007,156,0.4,2016
09009,548,0.31,2016
09011,87,0.35,2016
09013,88,0.42,2016
09015,82,0.35,2016
10001,124,0.22,2016
10003,864,0.28,2016
10005,82,0.35,2016
11001,2970,0.2,2016
12001,618,0.28,2016
12003,4,0.18,2016
12005,44,0.42,2016
12007,12,0.22,2016
12009,319,0.31,2016
12011,1199,0.26,2016
12013,1,-0.07,2016
12015,52,0.37,2016
12017,25,0.35,2016
12019,190,0.38,2016
12021,98,0.29,2016
12023,13,0.24,2016
12027,10,0.16,2016
12029,2,0.42,2016
12031,842,0.28,2016
12033,217,0.32,2016
12035,53,0.26,2016
12037,7,0.25,2016
12039,16,0.22,2016
12041,4,0.38,2016
12043,4,0.45,2016
12045,2,0.44,2016
12047,4,0.04,2016
12051,11,0.32,2016
12053,39,0.26,2016
12055,24,0.33,2016
12057,889,0.3,2016
12059,2,-0.32,2016
12061,166,0.34,2016
12063,9,0.24,2016
12065,3,0.37,2016
12069,127,0.34,2016
12071,294,0.3,2016
12073,597,0.29,2016
12075,10,0.36,2016
12079,2,0.74,2016
12081,177,0.37,2016
12083,93,0.23,2016
12085,72,0.31,2016
12086,1755,0.29,2016
12087,35,0.36,2016
12089,35,0.45,2016
12091,76,0.37,2016
12093,19,0.2,2016
12095,1445,0.27,2016
12097,128,0.18,2016
12099,875,0.31,2016
12101,250,0.34,2016
12103,1155,0.31,2016
12105,214,0.27,2016
12107,19,0.33,2016
12109,315,0.3,2016
12111,133,0.32,2016
12113,105,0.41,2016
12115,165,0.39,2016
12117,321,0.3,2016
12119,13,0.54,2016
12121,11,0.59,2016
12123,4,-0.06,2016
12125,9,0.46,2016
12127,327,0.25,2016
12129,20,0.2,2016
12131,11,0.17,2016
12133,2,-0.01,2016
13001,4,0.23,2016
13003,7,0.06,2016
13005,3,0.44,2016
13007,3,0.15,2016
13009,43,0.35,2016
13011,2,0.42,2016
13013,38,0.32,2016
13015,65,0.35,2016
13017,2,0.24,2016
13019,4,0.54,2016
13021,114,0.18,2016
13023,16,0.28,2016
13025,3,0.31,2016
13027,1,0.53,2016
13029,74,0.42,2016
13031,153,0.22,2016
13033,82,0.26,2016
13035,9,0.39,2016
13039,16,0.2,2016
13043,1,-0.67,2016
13045,111,0.19,2016
13047,24,0.32,2016
13049,2,0.87,2016
13051,191,0.22,2016
