fips,count,avgScore
01001,161,0.32
01003,966,0.3
01005,45,0.28
01007,45,0.28
01009,96,0.32
01011,17,0.09
01013,28,0.17
01015,425,0.26
01017,84,0.22
01019,46,0.24
01021,76,0.3
01023,19,0.32
01025,56,0.13
01027,20,0.38
01029,21,0.42
01031,124,0.34
01033,105,0.36
01035,14,0.25
01037,6,0.62
01039,102,0.26
01041,23,0.35
01043,168,0.35
01045,137,0.28
01047,59,0.04
01049,96,0.32
01051,197,0.23
01053,67,0.26
01055,199,0.26
01057,20,0.3
01059,51,0.36
01061,46,0.28
01063,7,0.02
01065,35,0.08
01067,48,0.25
01069,368,0.23
01071,82,0.29
01073,5627,0.23
01075,14,0.42
01077,250,0.29
01079,33,0.25
01081,2098,0.28
01083,347,0.26
01085,7,0.24
01087,33,0.08
01089,1616,0.24
01091,46,0.12
01093,45,0.42
01095,243,0.38
01097,2380,0.2
01099,40,0.22
01101,911,0.16
01103,337,0.28
01105,14,0.09
01107,31,0.09
01109,224,0.22
01111,131,0.25
01113,177,0.2
01115,282,0.3
01117,1631,0.29
01119,37,0.11
01121,136,0.16
01123,74,0.26
01125,1500,0.25
01127,174,0.32
01129,44,0.28
01131,16,0.14
01133,38,0.45
02013,8,0.13
02016,2,0.3
02020,1830,0.24
02050,90,0.23
02060,9,0.22
02068,17,0.14
02070,15,0.31
02090,642,0.24
02100,15,0.46
02110,241,0.24
02122,170,0.26
02130,62,0.24
02150,42,0.29
02164,11,0.16
02170,340,0.28
02180,31,0.23
02185,13,0.28
02188,3,0.71
02201,16,0.38
02220,42,0.27
02232,22,0.41
02240,8,0.25
02261,21,0.32
02270,10,-0.06
02280,26,0.32
02282,1,0.52
02290,21,0.16
04001,80,0.22
04003,368,0.28
04005,1360,0.24
04007,69,0.28
04009,50,0.3
04011,13,0.25
04012,23,0.33
04013,26986,0.25
04015,350,0.32
04017,155,0.3
04019,6184,0.22
04021,922,0.25
04023,110,0.26
04025,726,0.27
04027,691,0.28
05001,48,0.21
05003,28,0.21
05005,66,0.44
05007,2288,0.28
05009,69,0.27
05011,13,0.27
05013,5,-0.2
05015,62,0.4
05017,7,0.07
05019,112,0.28
05021,31,0.39
05023,49,0.4
05025,14,0.38
05027,27,0.43
05029,55,0.22
05031,747,0.25
05033,193,0.3
05035,145,0.17
05037,37,0.17
05039,6,0.36
05041,23,0.15
05043,31,0.23
05045,998,0.27
05047,22,0.32
05049,20,0.36
05051,291,0.3
05053,21,0.38
05055,106,0.34
05057,64,0.21
05059,92,0.29
05061,22,0.24
05063,130,0.38
05065,31,0.42
05067,33,0.36
05069,120,0.15
05071,51,0.24
05073,13,0.13
05075,32,0.34
05077,12,-0.0
05079,13,0.09
05081,10,0.25
05083,27,0.34
05085,304,0.29
05087,34,0.36
05089,22,0.37
05091,79,0.35
05093,114,0.17
05095,14,0.22
05097,5,0.22
05099,13,0.42
05101,7,0.33
05103,39,0.28
05105,28,0.24
05107,39,0.1
05109,15,0.46
05111,52,0.3
05113,22,0.21
05115,268,0.29
05117,12,0.49
05119,2984,0.22
05121,28,0.28
05123,140,-0.02
05125,388,0.28
05127,14,0.19
05129,5,0.17
05131,681,0.29
05133,28,0.34
05135,28,0.31
05137,21,0.22
05139,92,0.29
05141,29,0.28
05143,4017,0.26
05145,410,0.3
05147,27,0.41
05149,33,0.3
06001,22872,0.18
06003,4,0.73
06005,200,0.33
06007,2737,0.24
06009,164,0.34
06011,83,0.29
06013,12524,0.23
06015,90,0.27
06017,1950,0.3
06019,7562,0.22
06021,107,0.26
06023,1674,0.2
06025,814,0.29
06027,132,0.2
06029,3870,0.22
06031,745,0.21
06033,250,0.3
06035,102,0.31
06037,82712,0.21
06039,665,0.24
06041,4199,0.28
06043,60,0.13
06045,517,0.27
06047,1606,0.21
06049,24,0.44
06051,99,0.12
06053,2721,0.2
06055,1043,0.21
06057,1145,0.26
06059,22498,0.27
06061,5397,0.27
06063,106,0.29
06065,13380,0.21
06067,21567,0.22
06069,292,0.26
06071,12256,0.22
06073,34240,0.24
06075,15137,0.22
06077,4534,0.21
06079,3947,0.27
06081,10473,0.26
06083,3758,0.23
06085,20700,0.24
06087,2796,0.22
06089,1034,0.28
06091,19,0.19
06093,199,0.26
06095,3803,0.19
06097,5119,0.23
06099,3142,0.24
06101,588,0.28
06103,272,0.3
06105,46,0.31
06107,2197,0.24
06109,182,0.24
06111,5878,0.25
06113,4128,0.21
06115,506,0.25
08001,4994,0.21
08003,236,0.29
08005,7499,0.22
08007,41,0.29
08009,6,0.12
08011,8,0.09
08013,6242,0.26
08014,1416,0.25
08015,163,0.23
08017,2,0.06
08019,33,0.27
08021,28,0.27
08023,12,0.21
08025,11,0.4
08027,7,0.42
08029,94,0.24
08031,14997,0.2
08033,8,0.23
08035,3947,0.31
08037,321,0.24
08039,109,0.29
08041,7470,0.26
08043,192,0.28
08045,396,0.23
08047,29,0.32
08049,101,0.3
08051,274,0.26
08053,4,-0.06
08055,9,0.31
08057,1,0.68
08059,6781,0.26
08061,3,0.44
08063,18,0.27
08065,83,0.25
08067,532,0.23
08069,5340,0.25
08071,36,0.06
08073,13,0.32
08075,71,0.3
08077,771,0.28
08079,6,0.18
08081,28,0.16
08083,131,0.27
08085,121,0.26
08087,91,0.19
08089,85,0.33
08091,34,0.26
08093,70,0.34
08095,12,0.24
08097,155,0.29
08099,39,0.2
08101,849,0.26
08103,17,0.38
08105,55,0.23
08107,168,0.35
08109,36,0.18
08111,6,0.11
08113,115,0.26
08115,5,0.23
08117,276,0.29
08119,177,0.31
08121,14,0.39
08123,2646,0.24
08125,31,0.31
09001,7906,0.3
09003,8471,0.26
09005,1199,0.32
09007,1637,0.31
09009,8022,0.26
09011,2179,0.29
09013,1641,0.31
09015,615,0.29
10001,1409,0.21
10003,7637,0.25
10005,1387,0.29
11001,17181,0.19
12001,5614,0.25
12003,138,0.26
12005,461,0.27
12007,38,0.15
12009,2527,0.27
12011,8049,0.23
12013,11,0.38
12015,391,0.36
12017,233,0.37
12019,872,0.26
12021,1180,0.3
12023,244,0.28
12027,34,0.31
12029,16,0.35
12031,5823,0.23
12033,1097,0.25
12035,450,0.29
12037,21,0.2
12039,128,0.07
12041,32,0.35
12043,14,0.15
12045,25,0.2
12047,22,0.24
12049,27,0.23
12051,115,0.27
12053,358,0.34
12055,147,0.29
12057,9603,0.26
12059,28,0.26
12061,540,0.32
12063,55,0.23
12065,19,0.44
12067,16,0.16
12069,1118,0.29
12071,2433,0.29
12073,2974,0.24
12075,94,0.28
12077,6,0.57
12079,20,0.34
12081,1250,0.32
12083,643,0.26
12085,532,0.32
12086,10634,0.25
12087,189,0.33
12089,362,0.31
12091,832,0.25
12093,75,0.39
12095,10471,0.23
12097,1453,0.21
12099,6658,0.28
12101,2039,0.31
12103,5362,0.3
12105,1958,0.26
12107,138,0.28
12109,1699,0.33
12111,1290,0.28
12113,654,0.35
12115,1263,0.31
12117,2556,0.28
12119,154,0.4
12121,82,0.34
12123,22,0.36
12125,34,0.31
12127,1875,0.28
12129,121,0.23
12131,112,0.32
12133,21,0.45
13001,57,0.35
13003,44,0.22
13005,43,0.51
13007,5,0.32
13009,265,0.24
13011,26,0.43
13013,509,0.25
13015,528,0.27
13017,43,0.28
13019,47,0.27
13021,859,0.22
13023,75,0.37
13025,41,0.28
13027,19,0.31
13029,279,0.3
13031,1473,0.26
13033,377,0.25
13035,107,0.28
13037,12,0.23
13039,205,0.28
13043,22,0.24
13045,883,0.22
13047,167,0.33
13049,25,0.16
13051,1568,0.2
13053,1,0.58
13055,44,0.49
13057,1603,0.29
13059,3326,0.27
13061,3,0.52
13063,854,-0.01
13065,14,0.26
13067,6669,0.21
13069,296,0.24
13071,149,0.29
13073,730,0.24
13075,26,0.2
13077,792,0.26
13079,10,0.13
13081,48,0.23
13083,23,0.29
13085,126,0.3
13087,59,0.28
13089,8437,0.16
13091,39,0.2
13093,19,0.51
13095,244,0.1
13097,997,0.08
13099,19,0.08
13101,1,0.56
13103,246,0.32
13105,41,0.33
13107,48,0.33
13109,16,0.32
13111,60,0.31
13113,1016,0.22
13115,447,0.34
13117,1143,0.33
13119,90,0.36
13121,13950,0.19
13123,63,0.36
13125,9,0.45
13127,409,0.27
13129,144,0.3
13131,48,0.18
13133,68,0.4
13135,7422,0.18
13137,134,0.31
13139,878,0.29
13141,36,0.1
13143,77,0.35
13145,131,0.25
13147,69,0.34
13149,24,0.26
13151,1361,0.1
13153,639,0.18
13155,20,0.18
13157,452,0.31
13159,22,0.4
13161,33,0.43
13163,34,0.19
13165,12,0.02
13167,14,0.35
13169,77,0.37
13171,62,0.26
13173,19,0.27
13175,117,0.31
13177,101,0.29
13179,267,0.16
13181,18,0.41
13183,46,0.27
13185,600,0.16
13187,213,0.36
13189,45,0.35
13191,29,0.26
13193,24,0.29
13195,95,0.22
13197,11,0.31
13199,36,0.06
13201,10,0.4
13205,44,0.23
13207,102,0.28
13209,15,0.45
13211,83,0.36
13213,72,0.32
13215,900,0.2
13217,537,0.17
13219,395,0.32
13221,38,0.2
13223,739,0.22
13225,147,0.11
13227,100,0.38
13229,81,0.41
13231,67,0.33
13233,152,0.31
13235,24,0.32
13237,69,0.3
13239,1,0.41
13241,49,0.31
13243,13,0.32
13245,917,0.17
13247,479,0.02
13249,13,0.32
13251,26,0.29
13253,13,0.27
13255,215,0.21
13257,78,0.28
13259,9,0.14
13261,87,0.15
13263,7,0.3
13265,3,-0.07
13267,60,0.33
13269,24,0.34
13271,30,0.14
13273,8,0.12
13275,166,0.29
13277,150,0.28
13279,60,0.34
13281,31,0.3
13283,7,0.19
13285,272,0.25
13287,16,0.32
13289,17,0.28
13291,67,0.29
13293,71,0.27
13295,228,0.32
13297,231,0.29
13299,149,0.18
13301,12,0.3
13303,52,0.15
13305,75,0.24
13307,4,0.43
13309,5,0.18
13311,134,0.34
13313,373,0.28
13315,16,0.24
13317,35,0.22
13319,27,0.1
13321,37,0.16
15001,600,0.18
15003,3941,0.22
15005,2,0.3
15007,220,0.23
15009,587,0.25
16001,4629,0.28
16003,8,0.32
16005,1162,0.29
16007,13,0.33
16009,19,0.23
16011,187,0.28
16013,247,0.26
16015,32,0.32
16017,236,0.27
16019,624,0.29
16021,18,0.38
16023,8,0.4
16025,3,0.56
16027,987,0.24
16029,19,0.42
16031,101,0.36
16033,1,0.53
16035,19,0.34
16037,15,0.42
16039,137,0.29
16041,59,0.3
16043,44,0.39
16045,49,0.22
16047,37,0.34
16049,17,0.45
16051,96,0.35
16053,45,0.27
16055,659,0.3
16057,626,0.23
16059,20,0.16
16061,13,0.62
16063,15,0.42
16065,905,0.3
16067,91,0.23
16069,147,0.33
16071,12,0.39
16073,39,0.28
