,stateAbb,count,avgScore,stateName,year
25,ME,892,0.33,Maine,2010
26,MH,1,0.16,,2010
24,MD,4896,0.28,Maryland,2010
23,MA,6354,0.34,Massachusetts,2010
22,LA,1803,0.27,Louisiana,2010
21,KY,2275,0.34,Kentucky,2010
20,KS,1863,0.35,Kansas,2010
19,IN,4928,0.36,Indiana,2010
18,IL,11616,0.34,Illinois,2010
17,ID,1138,0.34,Idaho,2010
16,IA,2978,0.37,Iowa,2010
15,HI,455,0.3,Hawaii,2010
14,GU,3,0.43,,2010
13,GA,5637,0.22,Georgia,2010
12,FL,8482,0.34,Florida,2010
11,DE,544,0.28,Delaware,2010
10,DC,1107,0.24,District of Columbia,2010
9,CT,3053,0.34,Connecticut,2010
8,CO,4307,0.31,Colorado,2010
7,CA,20743,0.33,California,2010
6,AZ,3175,0.33,Arizona,2010
5,AR,1317,0.29,Arkansas,2010
4,AP,46,0.38,,2010
3,AL,2205,0.31,Alabama,2010
2,AK,353,0.38,Alaska,2010
1,AE,64,0.3,,2010
27,MI,6927,0.32,Michigan,2010
28,MN,5087,0.37,Minnesota,2010
29,MO,4495,0.34,Missouri,2010
30,MP,5,0.2,,2010
52,VA,5841,0.31,Virginia,2010
53,VI,3,0.47,,2010
54,VT,824,0.35,Vermont,2010
55,WA,5567,0.32,Washington,2010
56,WI,7249,0.36,Wisconsin,2010
57,WV,966,0.37,West Virginia,2010
58,WY,237,0.31,Wyoming,2010
49,TN,2968,0.31,Tennessee,2010
48,SD,359,0.37,South Dakota,2010
47,SC,2362,0.28,South Carolina,2010
46,RI,779,0.37,Rhode Island,2010
45,PR,6,-0.04,,2010
0,AA,2,0.12,,2010
44,PA,9835,0.34,Pennsylvania,2010
42,OK,1313,0.31,Oklahoma,2010
41,OH,8921,0.34,Ohio,2010
40,NY,10998,0.34,New York,2010
39,NV,1115,0.33,Nevada,2010
38,NM,600,0.24,New Mexico,2010
37,NJ,4836,0.34,New Jersey,2010
36,NH,1157,0.39,New Hampshire,2010
35,NE,2054,0.34,Nebraska,2010
34,ND,351,0.38,North Dakota,2010
33,NC,6848,0.28,North Carolina,2010
32,MT,790,0.33,Montana,2010
31,MS,926,0.15,Mississippi,2010
43,OR,3773,0.32,Oregon,2010
51,UT,2378,0.36,Utah,2010
50,TX,11050,0.3,Texas,2010
29,MO,3687,0.33,Missouri,2011
31,MT,653,0.35,Montana,2011
0,AA,1,0.44,,2011
32,NC,6688,0.3,North Carolina,2011
33,ND,404,0.38,North Dakota,2011
34,NE,2092,0.39,Nebraska,2011
35,NH,766,0.39,New Hampshire,2011
36,NJ,4403,0.37,New Jersey,2011
37,NM,666,0.29,New Mexico,2011
38,NV,1023,0.33,Nevada,2011
39,NY,9982,0.33,New York,2011
40,OH,8675,0.34,Ohio,2011
41,OK,1267,0.35,Oklahoma,2011
30,MS,836,0.14,Mississippi,2011
42,OR,3164,0.32,Oregon,2011
44,PR,7,0.25,,2011
45,RI,684,0.37,Rhode Island,2011
46,SC,2485,0.27,South Carolina,2011
47,SD,437,0.38,South Dakota,2011
48,TN,2449,0.3,Tennessee,2011
49,TX,8762,0.3,Texas,2011
50,UT,2209,0.32,Utah,2011
51,VA,5516,0.33,Virginia,2011
55,WI,6772,0.37,Wisconsin,2011
56,WV,1004,0.4,West Virginia,2011
57,WY,193,0.3,Wyoming,2011
52,VI,5,0.17,,2011
43,PA,8896,0.36,Pennsylvania,2011
53,VT,694,0.38,Vermont,2011
54,WA,5568,0.33,Washington,2011
27,MI,6099,0.32,Michigan,2011
1,AE,77,0.18,,2011
2,AK,241,0.35,Alaska,2011
3,AL,1776,0.26,Alabama,2011
4,AP,29,0.3,,2011
5,AR,1124,0.3,Arkansas,2011
6,AZ,2716,0.35,Arizona,2011
7,CA,18930,0.33,California,2011
8,CO,4040,0.33,Colorado,2011
9,CT,2595,0.36,Connecticut,2011
10,DC,1167,0.3,District of Columbia,2011
11,DE,645,0.38,Delaware,2011
12,FL,7734,0.35,Florida,2011
28,MN,5564,0.35,Minnesota,2011
13,FM,1,-0.03,,2011
15,GU,4,0.46,,2011
16,HI,451,0.33,Hawaii,2011
17,IA,2180,0.37,Iowa,2011
18,ID,876,0.34,Idaho,2011
19,IL,10154,0.34,Illinois,2011
20,IN,4236,0.35,Indiana,2011
21,KS,1695,0.36,Kansas,2011
22,KY,2250,0.35,Kentucky,2011
23,LA,1401,0.25,Louisiana,2011
24,MA,5606,0.35,Massachusetts,2011
25,MD,4540,0.27,Maryland,2011
26,ME,658,0.35,Maine,2011
14,GA,5168,0.23,Georgia,2011
52,VT,730,0.39,Vermont,2012
56,WY,112,0.34,Wyoming,2012
55,WV,930,0.41,West Virginia,2012
28,MO,2533,0.35,Missouri,2012
29,MS,535,0.21,Mississippi,2012
30,MT,430,0.37,Montana,2012
31,NC,5500,0.32,North Carolina,2012
32,ND,294,0.39,North Dakota,2012
33,NE,1553,0.4,Nebraska,2012
34,NH,715,0.4,New Hampshire,2012
35,NJ,3431,0.37,New Jersey,2012
36,NM,504,0.35,New Mexico,2012
37,NV,733,0.33,Nevada,2012
38,NY,8522,0.33,New York,2012
27,MN,3873,0.35,Minnesota,2012
39,OH,6140,0.35,Ohio,2012
41,OR,2657,0.32,Oregon,2012
42,PA,6598,0.36,Pennsylvania,2012
43,PR,4,0.41,,2012
44,RI,694,0.37,Rhode Island,2012
45,SC,1609,0.29,South Carolina,2012
46,SD,266,0.35,South Dakota,2012
47,TN,1921,0.32,Tennessee,2012
48,TX,6783,0.33,Texas,2012
49,UT,1913,0.34,Utah,2012
50,VA,4524,0.34,Virginia,2012
51,VI,1,-0.1,,2012
40,OK,929,0.32,Oklahoma,2012
53,WA,4831,0.33,Washington,2012
26,MI,4977,0.35,Michigan,2012
24,MD,3773,0.27,Maryland,2012
0,AA,4,0.42,,2012
1,AE,44,0.27,,2012
2,AK,217,0.37,Alaska,2012
3,AL,1212,0.3,Alabama,2012
4,AP,23,0.34,,2012
5,AR,808,0.3,Arkansas,2012
6,AZ,1749,0.34,Arizona,2012
7,CA,13895,0.33,California,2012
8,CO,3197,0.32,Colorado,2012
9,CT,2111,0.38,Connecticut,2012
10,DC,978,0.27,District of Columbia,2012
54,WI,5397,0.38,Wisconsin,2012
11,DE,351,0.33,Delaware,2012
13,GA,4285,0.28,Georgia,2012
