fips,count,avgScore,year
01001,16,0.5,2014
01003,63,0.46,2014
01005,7,0.19,2014
01007,1,-0.06,2014
01009,4,0.05,2014
01013,1,-0.03,2014
01015,43,0.27,2014
01017,6,0.55,2014
01021,5,0.53,2014
01023,3,0.26,2014
01025,5,0.15,2014
01027,4,-0.18,2014
01029,1,0.0,2014
01031,17,0.19,2014
01033,5,0.14,2014
01035,2,-0.29,2014
01037,1,0.23,2014
01039,1,-0.36,2014
01041,1,-0.21,2014
01043,1,0.11,2014
01045,12,0.35,2014
01047,7,0.19,2014
01049,4,0.27,2014
01051,17,0.35,2014
01053,1,-0.07,2014
01055,15,0.25,2014
01061,10,0.29,2014
01065,3,0.53,2014
01067,2,0.62,2014
01069,30,0.28,2014
01071,4,0.5,2014
01073,318,0.29,2014
01075,1,0.61,2014
01077,10,0.24,2014
01081,168,0.3,2014
01083,17,0.22,2014
01085,1,-0.7,2014
01087,6,-0.05,2014
01089,144,0.19,2014
01091,5,0.42,2014
01093,2,0.36,2014
01095,9,0.36,2014
01097,133,0.27,2014
01099,1,0.88,2014
01101,73,0.13,2014
01103,11,0.29,2014
01107,2,-0.4,2014
01109,61,0.34,2014
01111,2,0.38,2014
01113,37,0.32,2014
01115,8,0.2,2014
01117,85,0.33,2014
01121,5,-0.25,2014
01123,3,0.29,2014
01125,149,0.31,2014
01127,3,0.69,2014
01133,2,0.44,2014
02020,152,0.3,2014
02050,8,0.29,2014
02060,3,0.37,2014
02070,2,0.13,2014
02090,63,0.25,2014
02100,3,0.22,2014
02110,23,0.35,2014
02122,18,0.4,2014
02130,6,0.44,2014
02150,2,0.32,2014
02164,1,0.84,2014
02170,25,0.33,2014
02180,2,0.32,2014
02220,2,-0.16,2014
02240,2,0.26,2014
02261,5,0.37,2014
02270,3,0.11,2014
02280,1,-0.24,2014
02290,1,0.73,2014
04001,6,0.14,2014
04003,32,0.28,2014
04005,148,0.24,2014
04007,7,0.09,2014
04009,5,0.48,2014
04012,2,-0.24,2014
04013,1882,0.32,2014
04015,48,0.39,2014
04017,13,0.08,2014
04019,644,0.28,2014
04021,76,0.34,2014
04023,7,0.42,2014
04025,96,0.34,2014
04027,17,0.26,2014
05003,1,0.57,2014
05005,3,0.36,2014
05007,63,0.25,2014
05009,2,0.78,2014
05011,2,-0.07,2014
05015,6,0.63,2014
05017,1,0.37,2014
05019,5,0.3,2014
05021,2,0.1,2014
05023,3,0.4,2014
05027,2,0.31,2014
05029,5,-0.08,2014
05031,19,0.38,2014
05033,26,0.28,2014
05035,4,0.4,2014
05037,2,-0.04,2014
05039,2,0.2,2014
05041,1,0.69,2014
05043,4,0.65,2014
05045,124,0.36,2014
05047,11,0.48,2014
05049,2,0.2,2014
05051,20,0.34,2014
05053,1,0.22,2014
05055,2,0.31,2014
05057,2,0.29,2014
05059,1,0.33,2014
05063,7,0.33,2014
05065,3,0.24,2014
05069,13,0.02,2014
05071,14,0.47,2014
05079,2,0.44,2014
05081,1,-0.05,2014
05083,14,0.37,2014
05085,13,0.35,2014
05091,11,0.51,2014
05093,7,0.08,2014
05097,2,0.34,2014
05101,2,0.04,2014
05103,5,0.52,2014
05105,4,0.49,2014
05107,3,0.17,2014
05109,1,0.85,2014
05111,1,-0.42,2014
05115,11,0.22,2014
05117,1,0.82,2014
05119,282,0.23,2014
05123,3,-0.47,2014
05125,30,0.26,2014
05129,2,0.04,2014
05131,34,0.33,2014
05133,2,0.34,2014
05135,2,0.12,2014
05137,2,0.46,2014
05139,4,0.19,2014
05143,222,0.34,2014
05145,9,0.55,2014
05147,1,1.1,2014
05149,1,0.4,2014
06001,2500,0.22,2014
06005,12,0.19,2014
06007,219,0.35,2014
06009,9,0.3,2014
06013,815,0.31,2014
06015,19,0.29,2014
06017,108,0.29,2014
06019,311,0.35,2014
06021,6,-0.06,2014
06023,91,0.27,2014
06025,59,0.31,2014
06027,8,0.14,2014
06029,199,0.31,2014
06031,20,0.48,2014
06033,12,0.26,2014
06035,4,0.42,2014
06037,4749,0.28,2014
06039,10,0.26,2014
06041,228,0.27,2014
06043,4,0.16,2014
06045,28,0.15,2014
06047,106,0.25,2014
06049,1,-0.01,2014
06051,5,0.51,2014
06053,136,0.23,2014
06055,50,0.27,2014
06057,39,0.24,2014
06059,1482,0.32,2014
06061,218,0.27,2014
06063,15,-0.12,2014
06065,890,0.28,2014
06067,1045,0.25,2014
06069,24,0.46,2014
06071,871,0.31,2014
06073,1986,0.31,2014
06075,1405,0.26,2014
